election,contest,vote_class,candidate_1,candidate_2,signature,duplicate_units,collision_pairs,units
2014-local,강원도|강원도,관내사전투표,최문순,최흥집,"49,80",2,1,두촌면|관내사전투표|김삿갓면|관내사전투표
2014-local,강원도|강원도,관내사전투표,최문순,최흥집,"57,95",2,1,부론면|관내사전투표|묵호동|관내사전투표
2014-local,경상남도|경상남도,관내사전투표,홍준표,김경수,"293,83",2,1,부곡면|관내사전투표|웅양면|관내사전투표
2014-local,경상북도|경상북도,관내사전투표,김관용,오중기,"160,23",2,1,초전면|관내사전투표|현동면|관내사전투표
2014-local,경상북도|경상북도,관내사전투표,김관용,오중기,"186,28",2,1,지산동|관내사전투표|안덕면|관내사전투표
2014-local,경상북도|경상북도,관내사전투표,김관용,오중기,"342,43",2,1,평화동|관내사전투표|봉양면|관내사전투표
2014-local,전라남도|전라남도,관내사전투표,이낙연,이성수,"124,18",2,1,남면|관내사전투표|엄다면|관내사전투표
2014-local,전라남도|전라남도,관내사전투표,이낙연,이성수,"190,33",2,1,북일면|관내사전투표|흑산면|관내사전투표
2014-local,전라북도|전라북도,관내사전투표,송하진,박철곤,"145,41",2,1,웅포면|관내사전투표|보안면|관내사전투표
2014-local,전라북도|전라북도,관내사전투표,송하진,박철곤,"174,27",2,1,이평면|관내사전투표|이백면|관내사전투표
2014-local,전라북도|전라북도,관내사전투표,송하진,박철곤,"174,50",2,1,서수면|관내사전투표|중앙동|관내사전투표
2014-local,충청남도|충청남도,관내사전투표,안희정,정진석,"54,61",2,1,시초면|관내사전투표|문산면|관내사전투표
2018-local,대구광역시|대구광역시,관내사전투표,권영진,임대윤,"674,559",2,1,관음동|관내사전투표|현풍면|관내사전투표
2022-local,전라남도|전라남도,관내사전투표,김영록,이정현,"377,90",2,1,동복면|관내사전투표|장산면|관내사전투표
2022-local,충청북도|충청북도,관내사전투표,김영환,노영민,"319,158",2,1,양산면|관내사전투표|내북면|관내사전투표
