n,k_space,threshold,lambda,probability,probability_percent,reciprocal
393,50000,5,1.54056,0.02054999234891819,2.054999234891819,48.66181860416327
393,50000,6,1.54056,0.005056292659425643,0.5056292659425643,197.77336229457742
393,100000,5,0.77028,0.0011966219157281133,0.11966219157281133,835.6858476819104
393,100000,6,0.77028,0.00015061752125833383,0.015061752125833383,6639.333801575684
393,100944.8,5,0.7630705098231905,0.0011484064248148407,0.11484064248148407,870.7718612434892
393,100944.8,6,0.7630705098231905,0.00014322422035484283,0.014322422035484283,6982.059301998407
393,200000,5,0.38514,5.130716523893408e-05,0.005130716523893408,19490.45509224815
393,200000,6,0.38514,3.2622194672260463e-06,0.00032622194672260463,306539.76841427136
393,337354,5,0.2283298849279985,4.277841555211381e-06,0.00042778415552113813,233762.7485949715
393,337354,6,0.2283298849279985,1.6189114349085543e-07,1.6189114349085543e-05,6176990.157935885
393,500000,5,0.154056,6.361510517249869e-07,6.361510517249869e-05,1571953.700757706
393,500000,6,0.154056,1.627312729013397e-08,1.627312729013397e-06,61451003.37328999
